Gene,UpregRIFpos
C4orf48,up
CDKN1A,up
PCSK1N,up
PHLDA3,up
TYMP,up
SNORA76,up
SLC39A7,up
FXYD2,up
RNF19A,up
RHCG,up
CDC20,down
NDUFA6,down
UBE2C,down
TUBB4B,down
AC013449.1,down
TOP2A,down
KIAA0101,down
BIRC5,down
TUBB,down
DTYMK,down
TUBA1B,down
