"Gene","Regulation","Cluster"
"Ccl4","up",14
"Ccl3","up",14
"Cyp11a1","up",14
"Cxcl15","down",14
"Fabp4","down",14
"Ptprf","down",14
"Il6","up",14
"Cd200r3","up",14
"Sftpb","down",14
"Lmo7","down",14
"Cd3d","down",14
"Plac8","up",14
"Ptgs2","up",14
"Gm12216","up",14
"Lgi3","down",14
"Chil3","down",14
"Il1rl1","up",14
"Sparc","down",14
"Chil1","down",14
