"Gene","Regulation","Cluster"
"C1qb","up",12
"C1qc","up",12
"Rnase2a","up",12
"C1qa","up",12
"Folr2","up",12
"Sfta2","down",12
"Apoe","up",12
"Ftl1","up",12
"Clic3","down",12
"Ccl8","up",12
"Myo1b","down",12
"Npnt","down",12
"Cd79a","down",12
"Fth1","up",12
"Wfdc2","down",12
"H2-Ab1","up",12
"Cxcl13","up",12
"Cd74","up",12
"Pbx1","down",12
"Limch1","down",12
"Cst3","up",12
"Jchain","down",12
"H2-Eb1","up",12
"H2-Aa","up",12
"Pid1","up",12
"Etv5","down",12
"Iglc3","down",12
"Hmcn1","down",12
"H2-M2","up",12
"Ctss","up",12
"Timp2","up",12
"Tmcc2","down",12
"Sod3","down",12
"Col3a1","down",12
"Cyr61","down",12
"Por","down",12
"Lamp3","down",12
"Itga1","down",12
"Nupr1","down",12
"Thbd","down",12
"Smim22","down",12
"Tnfsf13b","up",12
"Cryab","down",12
"Ptafr","up",12
