"Gene","Regulation","Cluster"
"Scgb1a1","up",11
"Cbr2","up",11
"Tmem212","up",11
"Wfdc2","up",11
"Ccpg1os","up",11
"Cyp2f2","up",11
"Riiad1","up",11
"Dynlrb2","up",11
"Mylk","down",11
"Igfbp6","down",11
"Hp","up",11
"Plxnb1","up",11
"Tcea3","up",11
"Lypd2","up",11
"Hbb-bt","down",11
"Cd24a","up",11
"Tppp3","up",11
"Ttc26","up",11
"Cfap70","up",11
"Aldh1a1","up",11
"Cfap126","up",11
"Fam81a","up",11
"Rsph10b","up",11
"Cetn4","up",11
"Gm867","up",11
"Scgb3a1","up",11
"Pifo","up",11
"1700007K13Rik","up",11
"Nupr1","up",11
"Ccdc153","up",11
"AC126280.1","up",11
"Smim22","up",11
"Hdc","up",11
"Cxcl16","down",11
"Dnah6","up",11
"1110004E09Rik","up",11
"Chchd10","up",11
"AC149090.1","up",11
"1700029J07Rik","up",11
"Ak1","up",11
"Pcbd1","up",11
"C1qb","down",11
"Msi2","up",11
"Nbl1","down",11
"C5ar1","down",11
"Hsph1","up",11
"Rbp1","down",11
"4933434E20Rik","up",11
"Nphp3","up",11
"Gm20661","up",11
"Vwf","down",11
"Cfap45","up",11
"Serpine2","up",11
"Gramd2","up",11
"Gm16136","up",11
"Cfap206","up",11
"1700088E04Rik","up",11
