"Gene","Regulation","Cluster"
"Cd74","up",6
"Cst3","up",6
"H2-Ab1","up",6
"H2-Aa","up",6
"H2-Eb1","up",6
"Crip1","up",6
"Ptprf","down",6
"H2-DMa","up",6
"Pclaf","up",6
"Pla2g1b","down",6
"Aldh1a1","down",6
