"Gene","Regulation","Cluster"
"Igfbp5","up",17
"Crip1","up",17
"Gpm6a","up",17
"Rarres2","up",17
"Igfbp6","up",17
"Msln","up",17
"Timp2","up",17
"S100a6","up",17
"Smpd3","up",17
"Lgals7","up",17
"Nrgn","up",17
"Upk3b","up",17
"C3","up",17
"Clu","up",17
"Rnase4","up",17
"Dmkn","up",17
"Gas6","up",17
"Tm4sf5","up",17
"Dcn","up",17
"Id4","up",17
"Crim1","up",17
"Gja1","up",17
"Xpnpep2","up",17
"Krt18","up",17
"Ang","up",17
"Mfap5","up",17
"Fam84b","up",17
"Gpc3","up",17
"Spock2","up",17
"Cryab","up",17
"Col1a1","up",17
"Chst4","up",17
"Adamts2","up",17
"Krt7","up",17
"Ifi27l2a","up",17
"Pard6b","up",17
"1500015O10Rik","up",17
"Lims2","up",17
"Gfpt2","up",17
"Cxadr","up",17
"Bcam","up",17
"Col5a2","up",17
"Csrp2","up",17
"Ptn","up",17
"Krt19","up",17
"Spry2","up",17
"Prelp","up",17
"Fam84a","up",17
"Tatdn1","up",17
"Il33","up",17
"Hist1h2bc","up",17
"B430010I23Rik","up",17
"Cald1","up",17
"Tm4sf1","up",17
"Cyr61","up",17
"Mrc1","down",17
"Acp5","up",17
"Mcee","up",17
"Hist1h2ap","down",17
"Mid1ip1","up",17
"Ccl17","down",17
"Cd34","up",17
"Atp1b1","up",17
"Sox11","down",17
"Fbxo2","up",17
"Wnt5a","up",17
"Bace2","up",17
"Cdh11","up",17
"Tmem178","up",17
"Ckmt1","up",17
"Tspan8","up",17
"Arl3","up",17
"Il18","up",17
"Ctdspl","up",17
"Phlda3","up",17
"Rgs4","up",17
"Lysmd2","up",17
"Cav1","up",17
"Fabp5","up",17
"Muc16","up",17
"Gstp1","up",17
"Cybb","down",17
"Cavin1","up",17
"Aldh1a1","up",17
"Myo5b","up",17
"Tbx2","up",17
"Ccl21a","down",17
"Tceal9","up",17
"Hbb-bs","down",17
"Mgp","up",17
"Ccdc80","up",17
"Klrd1","down",17
"Stmn2","down",17
"Samsn1","down",17
"Ltbp1","up",17
"Fxyd6","up",17
"Scn7a","down",17
"Cox6b2","up",17
"Arhgap29","up",17
"Ptprd","up",17
"Sdc2","up",17
"Pld3","up",17
"Id1","up",17
"Slpi","up",17
"Slc15a3","down",17
"Has1","up",17
"Lat","down",17
"Cd3e","down",17
"Cd44","down",17
"Aqp1","up",17
"Pkib","down",17
"Ace","down",17
"Lgals1","up",17
"S100a1","up",17
"C1qtnf2","up",17
"Slurp1","up",17
"Ar","up",17
"Fibin","up",17
"Fam180a","up",17
"Crip2","up",17
"Prss23","up",17
"Hsp90aa1","up",17
"Lst1","down",17
"Olr1","down",17
