Gene,Regulation_in_hypoxia
ETS1,up
ACACA,down
IFI30,down
HINT1,up
BRAF,up
PAK1,up
KPNA2,down
PDK3,up
FOXO3,up
TIMM23,down
NOLC1,down
PPP1R13B,down
PAIP1,down
FOXN3,up
AFF1,up
TMCC3,up
HIGD1A,down
DHX29,down
RSU1,down
CDC42EP4,down
SLC25A20,down
TXNDC13,up
HDHD1A,up
SDK1,up
EIF4ENIF1,down
IRF1,up
MLXIP,down
SPTBN1,up
ENY2,down
MKNK1,down
IGFBP3,up
RNMT,up
MECP2,down
DBF4,down
POLR1C,down
TYSND1,down
ANGPTL6,up
SERTAD1,up
ST3GAL5,down
C20orf24,down
CASC5,down
PAK2,down
CCT3,down
VCP,down
NOL5A,down
PITPNA,down
ELL2,up
ANXA5,down
ATF7,up
PARD3B,down
DUSP5,up
RALGPS1,down
PIP4K2B,down
PGM3,up
SPRY1,up
FSD1L,up
PDLIM5,down
SEC22C,down
PPAPDC2,down
HNRNPC,down
AP2B1,down
SNAPC3,up
ARID1A,down
DPAGT1,down
ABCG1,down
CCT6A,down
C18orf19,up
SDCCAG8,up
C3orf58,up
SPAST,down
STK17B,up
ERGIC2,down
ARL5B,up
KIAA1913,up
FGD6,up
KPNA4,down
THAP6,down
MGA,down
MIA3,down
UBQLN1,down
PRMT6,down
