Gene,Regulation_in_hypoxia
LYZ,up
PPP1CB,up
EGR1,up
RAP2C,up
THBS1,up
NIPSNAP3A,up
UBB,up
NDUFA5,up
EFCAB2,up
LACTB2,up
DKFZP564O0523,up
B3GALNT1,up
ABRA,up
EIF4E,up
KIAA0776,up
CBWD1,up
ZEB2,up
POMP,up
ITM2A,up
SUCLG2,up
USP28,up
LYPLA1,up
KIAA0372,up
EGFR,up
FAM76B,up
FGD4,up
FLJ13611,up
COX11,up
LOC401397,up
KLHL20,up
FCF1,up
CALM3,up
FMA73A,up
PSMC2,up
TNFSF10,up
FGF7,up
EFEMP1,up
CYP51A1,up
PPM1B,up
LUM,up
SERPINB9,up
ALS2,up
RABGGTB,up
UBE2D1,up
LOC386597,up
TUBE1,up
COMMD8,up
EPOR,up
AP1S2,up
STRN3,up
PHACTR2,up
ZADH1,up
TSPAN12,up
ANK1,up
ADK,up
C18orf55,up
UST6,up
GATM,up
ATE1,up
SDPR,up
CNN3,up
LOC285708,up
C10orf110,up
STOML1,up
HNRPH1,up
SLC2A13,up
PLDN,up
TNRC6B,up
UBE2D1,up
NFATC2IP,up
STXBP3,up
TCEB1,up
EFHA2,up
LYRM7,up
ACTR3,up
SCOC,up
RPL15,up
LOC441642,up
C8orf4,up
POKR2K,up
PRO1268,up
LSMAP,up
GAPDHL19,up
EIF4E,up
WSB2,up
COMMD10,up
ZFX,up
RPL23AP7,up
SH3BGRL ,up
PAK2,up
CPNE4,up
NLRP1,up
XPNPEP3,up
RPL37A,up
PTP4A1,up
BLZF1,up
KPNA2,up
IGFBP7,up
CEP170,up
BCL10,up
PAIP1,up
MEFV,up
LOC643653,up
ANXA7,up
FLCN,up
SEPT7,up
TM2D1,up
CD8A,up
SPP1,up
SEPP1,up
TMEM123,up
SKAP2,up
CDKN2C,up
SAT1,up
THAP5,up
ACTL6A,up
SUMO1,up
MAD2L1,up
MANSC1,up
EDG1,up
WNT6,up
CPE,up
IL33,up
OMA1,up
COLR,up
SLC12A2,up
EFHA1,up
RPL38,up
YIPF4,up
GNG10,up
PEX7,up
STAT5B,up
BPNT1,up
ID2,up
EIF1AX,up
OTUD6B,up
RAB12,up
LCE1E,up
RBM3,up
TPMT,up
MRPL50,up
HSDL2,up
MTHFD2L,up
JAG1,up
MYOZ2,up
FAM115A,up
CHRODC1,up
ATP2C1,up
CPNE4,up
NLRP1,up
BTF3,up
GOLT1B,up
FLJ22222,up
DPYD,up
DC5orf33,up
EGFR,up
JRKL,up
SGMS1,up
ZNF654,up
STK17B,up
GJB4,up
SP3,up
LRRC25,up
TMTC3,up
NAP1L1,up
TFGL2,up
ZNF552,up
FLJ13439,up
AAPOBEC3G,up
EIF1AP1,up
GULP1,up
OGDH,down
NRAP,down
PKP2,down
MFN2,down
GNS,down
AHNAK,down
SLC8A1,down
COPA,down
CMYA5,down
PDE4DIP,down
NUMA1,down
SETD5,down
FOXO3,down
SLC39A14,down
PLEC1,down
ZFP36L2,down
HIPK3,down
C19orf6,down
FBLIM1,down
IL6ST,down
YTHDF3,down
DDX42,down
AFF4,down
DHX9,down
WDR68,down
ATP13A3,down
SEC61A1,down
CEBC1,down
SIPA1L2,down
GSN,down
AKAP6,down
PPARA,down
PDLIM5,down
TTC3,down
SP1,down
TRAK1,down
INPP5A,down
PDE43A,down
SUPT16H,down
NUP62,down
PSME4,down
FGD4,down
ERC1,down
PRPF6,down
COL6A1,down
MTMR1,down
TRRAP,down
UBE4B,down
MCL1,down
ATP2B4,down
FLIP1,down
RPS23,down
CPD,down
FBXW11,down
LASS6,down
SMARCA2,down
SORBS1,down
GNA13,down
SCYL2,down
FAF1,down
EZR,down
ZNF672,down
GATA4,down
PDE1C,down
FGFR1,down
MBNL2,down
UBR1,down
SCN7A,down
COL6A2,down
MBP,down
EIF4G1,down
XPO7,down
EPAS1,down
MSH6,down
TGFBR2,down
GABRB1,down
PHLDB2,down
CTNNA1,down
CEL,down
PRUNE,down
BCL2L1,down
SLC16A1,down
ARFGEF2,down
C9orf5,down
ZMYND11,down
RHOB,down
KREMEN1,down
FBXO38,down
SCAMP1,down
PHTF2,down
SPG7,down
MPP5,down
BCLAF1,down
NCOA2,down
MYOM3,down
FOXN3,down
BVES,down
FAM62B,down
P4HB,down
USP2,down
ZFYVE1,down
GTF2I,down
SOS2,down
THSD4,down
JMJD1C,down
RNF38,down
MBNL1,down
CCDC93,down
CLPTM1,down
HECTD1,down
TMEM168,down
ST6GLA1,down
GLUL,down
WDR1,down
UBXD7,down
DBT,down
ZBED1,down
SLC29A1,down
MAPK14,down
GAB1,down
SCCDC22,down
LTBP3,down
REPIN1,down
UTRN,down
SRPR,down
FOXJ3,down
COL12A1,down
TMP3,down
SPAG9,down
ZNF395,down
AKAP1,down
ATF2,down
COL4A2,down
MBP,down
GOPC,down
MFAP3,down
UBXD2,down
HSPG2,down
DSG2,down
EXOC4,down
CLIC4,down
RANBP2,down
RC3H2,down
ABCC9,down
LSM14B,down
SYNPO2,down
TPP1,down
SMEA6D,down
DLG1,down
OBSL1,down
UBE4D,down
LPP,down
PKP4,down
DUSP3,down
PHACTR2,down
DDX3X,down
PTPN11,down
C6orf106,down
ARHGAP5,down
RUNX1T1,down
