Gene,Regulation_in_Hypoxia
CCL15,up
CCL18,up
CCL19,up
CCL23,up
CCL8,up
CCR1,up
CCR2,up
CSF1R,up
CSF3R,up
CXCL11,up
CXCL6,up
ECGF1,up
IL13RA1,up
IL18BP,up
IL18R1,up
IL21R,up
IL28Ra,up
KDR,up
TGFBR2,up
TNFRSF10C,up
TNFSF10,up
TNFSF13,up
TRAF2,up
ACTN3,up
ADAM28,up
ADAMTS3,up
AVIL,up
CALD1,up
CORO1B,up
ENPP2,up
FLRT3,up
FYB,up
JUP,up
KRT8,up
LAMC1,up
LGALS2,up
LOX,up
MMP25,up
MYH11,up
SYMPK,up
THBS2,up
VAV1,up
VAV3,up
VCL,up
ZYX,up
ACSL1,up
ACSL3,up
APOC1,up
APOE,up
APOL2,up
CYP27A1,up
RABP5,up
LDLR,up
LRP1,up
LRP8,up
OSBPL1A,up
PLCE1,up
PLCL1,up
PLCL2,up
CD11C,up
CD157,up
CD163,up
CD36,up
CD47,up
CD84,up
CLECSF6,up
FCGR1A,up
GRP86,up
HLA-G,up
ICAM3,up
ITGB5,up
ITGB7,up
LAIR1,up
LILRB1,up
LILRB2,up
LILRB3,up
LIR9,up
LY6E,up
MERTK,up
SN,up
STAB1,up
TLR5,up
TLR7,up
AHR,up
ARNT2,up
CBP,up
CEBPA,up
CEBPD,up
CREB5,up
EGR2,up
GAS7,up
HIF1A,up
MAZ,up
MITF,up
MLL,up
MNDA,up
MYX,up
NCOA1,up
NDRG2,up
PC4,up
PCAF,up
PML,up
SÜO1,up
TP53,up
ZNF197,up
